id	name	type	count
769	妖梦，UUZ	1	1
771	忆红莲	1	43
772	毒萝	1	24
773	毒姐	1	29
777	艾伦	1	4
778	喻黄	1	3
781	仙剑奇侠传五前传	2	18
782	欧阳倩	1	3
783	冰雪奇缘	2	34
786	折原九琉璃	1	5
789	千本樱	1	33
791	阳炎	1	13
793	颜艺	1	224
794	林大B	2	9
795	林小B	1	8
796	高还原	1	4
798	大触	1	4
802	接二连珊	1	3
804	荒川爆笑团	2	12
806	潘多拉之心	1	10
807	三笠·阿克曼	1	19
809	寒蝉鸣泣之时	2	490
810	古手梨花	1	121
811	北条沙都子	1	46
812	马路须加学园	2	16
813	鼠女	1	5
815	桐崎千棘	1	3
816	伪恋	2	8
817	圆环之理	1	6
818	逗比	1	10
822	死亡笔记	2	47
823	L	1	9
826	芙兰朵露·斯卡雷特	1	108
833	特殊传说	2	1
835	青之驱魔师	2	11
836	冰室辰也	1	3
838	酷	1	11
843	斑	1	1
844	夏目贵志	1	27
845	女仆	1	8225
846	痴汉	1	1
847	进击	1	3
848	大道寺知世	1	2742
849	音乐	1	32
851	蓝河	1	1
852	塞蕾丝缇雅	1	2
854	大小乔	1	3
856	NEKO	1	21
857	仙剑	1	213
862	可爱	1	3582
863	咩萝	1	23
864	尤赫	1	4
866	蜻蛉	1	2
867	忍	1	3
869	花降楼	2	6
870	剑三COS	1	165
871	剑网三COS	1	137
872	TSUBASA	1	4
873	翼	1	3
874	四月一日灵异事件簿	1	24
875	壱原侑子	1	2
876	四月一日君寻	1	20
877	壹原侑子	1	40
880	蜂蜜与四叶草	2	1
882	髅髅宫歌留多	1	278
883	见崎鸣	1	272
884	罪惡王冠	1	8
885	INORI	1	11
887	深海少女	1	42
889	V+	1	27
891	巨人	1	3
892	金鱼草	1	2
894	经典	1	6
896	歌之王子殿下	2	50
897	亚丝娜	1	426
901	漩涡鸣人	1	51
902	宇智波佐助	1	51
903	小公主	1	4
904	黑子	1	4
905	某科学的电磁炮	1	1
907	老番	1	56
909	LOVELIVE!	1	1917
910	影视	1	88
911	VOCALIOD	1	98
912	KAITO	1	183
916	アスナ	1	2
917	结城明日奈	1	185
918	SAO	1	50
920	艾伦·耶格尔	1	23
921	枪	1	68
922	小海	1	1
923	刀劍神域	1	13
924	诗乃	1	43
925	GGO	1	45
926	朝田诗乃	1	517
928	運動服	1	3
930	体育服	1	2
931	唐毒	1	1
932	短发	1	181
933	福利	1	1186
934	四糸乃	1	134
941	女帝	1	38
942	吴邪	1	14
944	黑岩	1	9
945	网球王子	2	102
946	不二周助	1	13
948	苍叶	1	1
949	DMMD	1	16
951	LOKI	1	2
952	THOR	1	2
953	后期	1	2112
959	JIN	1	3
961	阳炎计划	1	7
962	KAGEROU PROJECT	1	1
965	记录的地平线	2	2
967	新世纪福音战士	2	1198
968	EVA	1	1686
969	渚薰	1	87
970	白井黑子	1	547
971	物语系列	2	746
972	忍野忍	1	415
973	问题儿童都来自异世界	1	1
975	逆卷修	1	2
976	JK制服	1	2511
977	场照	1	14936
978	军萝	1	4
979	因幡帝	1	51
982	铠甲	1	5
983	我的妹妹不可能那么可爱	1	112
984	OTOTSUKI	1	1
985	灵梦	1	237
986	LOVELIVE！	1	1377
988	琴南奏江	1	1
989	最上恭子	1	1
991	SKIP BEAT	1	1
996	高月	1	1
997	姬如千泷	1	18
998	小剧场	1	17
999	炮哥	1	3
1000	剑侠情缘叁	1	8
1001	校服	1	300
1002	SHION	1	1
1004	夏目	1	9
1005	妖精女王	1	1
1010	JOJO	1	139
1011	御坂美琴	1	1331
1013	水著	1	3
1014	家暴组	1	1
1017	夏娜	1	12
1018	灼眼的夏娜	2	16
1020	渚	1	1
1021	CLANNAD	2	67
1022	沢田纲吉	1	4
1026	美树沙耶加	1	155
1027	毛毛	1	2
1032	觉醒	1	47
1035	CLAYMORE	1	1
1036	大剑	2	3
1037	LOVELESS	1	6
1038	BJD	1	578
1040	宫崎骏	1	25
1043	黄濑凉太	1	16
1044	帅	1	12
1046	七濑遥	1	142
1047	FREE	1	20
1048	泽田纲吉	1	4
1050	提子	1	1
1051	死神	2	46
1052	朽木露琪亚	1	11
1054	叶沉香	1	1
1055	古明地觉	1	123
1056	东方地灵殿	1	17
1058	KANO	1	4
1062	心理测量者	2	17
1064	狡啮慎也	1	6
1065	槙岛圣护	1	5
1066	藤原妹红	1	133
1069	桂小太郎	1	7
1070	假发子	1	1
1071	小卷子	1	1
1075	怀旧	1	17
1076	拳皇	2	14
1081	刀剑春秋	1	21
1083	梅洛尼	1	3
1084	普罗修特	1	2
1086	桃井五月	1	9
1087	紫原敦	1	4
1089	黑桃	1	7
1090	米英	1	5
1091	戴妍琦	1	1
1092	雷霆	1	10
1095	雪莉露	1	8
1096	张佳乐	1	10
1097	黄金圣斗士	1	1
1099	巨蟹座	1	1
1100	圣斗士星矢	2	11
1101	御狐神双炽	1	99
1102	妖狐X仆SS	1	386
1109	师尊	1	1
1110	多多良小伞	1	22
1111	丰聪耳神子	1	50
1112	八云紫	1	332
1113	比那名居天子	1	239
1114	东风谷早苗	1	549
1115	八云蓝	1	28
1116	八意永琳	1	29
1117	电视剧	1	4
1120	水彩	1	1800
1121	拟人	1	172
1122	小圆	1	93
1123	浴衣	1	1726
1124	手绘	1	12504
1128	LOLITA	1	10045
1129	涂鸦	1	227
1132	SPN	1	1
1133	黑篮	1	1
1134	汞灯	1	1
1135	喜欢	1	5
1136	彩铅	1	343
1138	Q版	1	3575
1139	自画像	1	3
1140	奇犽	1	17
1141	小杰	1	2
1144	佐鸣	1	3
1146	亚种	1	11
1147	恋色病棟	1	1
1148	HP	1	19
1149	插画	1	5497
1150	ONEPIECE	1	6
1151	墙绘	1	3
1156	永远的万事屋	1	1
1160	钻石王牌	2	3
1161	排球！！	2	44
1162	日向翔阳	1	40
1163	清水洁子	1	19
1164	NICO	1	211
1165	矢泽妮可	1	5421
1167	轻音少女	1	864
1168	K-ON	1	38
1169	圣传	2	8
1170	阿修罗	2	11
1171	越前龙马	1	15
1172	志村妙	1	2
1175	柳生九兵卫	1	1
1177	尼桑	1	1
1179	夜兔	1	1
1180	呆毛	1	124
1181	草鹿八千流	1	1
1182	闻人羽	1	3
1188	双子	1	247
1191	LOVELIVE	1	7973
1193	镜音	1	58
1194	原创	1	3464
1195	COS正片	1	19913
1196	D.GRAY-MAN	1	16
1197	驅魔少年	1	2
1198	神田优	1	55
1201	线稿	1	829
1204	千年组	1	90
1206	晓	1	33
1210	苏媚	1	11
1212	松前緒花	1	1
1213	花开伊吕波	2	5
1214	雪女	1	82
1217	星空	1	46
1218	云	1	19
1219	风景	1	68
1220	十束多多良	1	34
1221	剧情向	1	43
1222	小手冰凉	1	75
1223	安文逸	1	57
1224	巡音ルカ	1	12
1226	女孩子	1	127
1227	剑灵	2	13
1228	单色	1	5
1229	花	1	78
1230	男孩子	1	175
1231	日绘	1	50
1232	游戏原画	1	6
1233	面具	1	15
1235	卖药郎	1	9
1236	怪化猫	1	8
1238	首无	1	4
1239	西装	1	43
1241	瓶邪	1	8
1242	猫	1	274
1243	柯南	1	13
1245	天空	1	26
1246	家教	1	4
1247	幻想	1	19
1248	樱	1	30
1251	明日香	1	976
1252	真希波	1	40
1254	练白瑛	1	4
1260	镜音双子	1	456
1261	RIN	1	74
1262	LEN	1	10
1264	仏英	1	1
1268	千本櫻	1	1
1269	西索	1	11
1270	临摹	1	3227
1271	妹子	1	182
1272	FREE!	1	14
1274	高杉晋助	1	6
1276	云雀恭弥	1	4
1278	REBORN	1	1
1280	夏尔·凡多姆海威	1	3
1281	青柳立夏	1	1
1285	舞女	1	1544
1286	电影COS	1	1
1287	狐妖	1	24
1291	舰娘	1	1712
1292	榛名	1	45
1293	舰队收藏	1	42
1294	舰队COLLECTION	2	2585
1295	祥瑞御免	1	1
1296	丹阳号	1	1
1297	小黄人	1	2
1301	子不语	2	5
1302	松前绪花	1	7
1304	凉宫春日系列	1	1
1305	凉宫春日的忧郁	2	474
1306	朝比奈实玖瑠	1	23
1310	GAL	1	4
1311	巴卫	1	53
1312	元气少女缘结神	2	73
1313	MIO	1	31
1314	婚纱	1	2202
1315	哈哈	1	2
1319	青峰大辉	1	15
1320	绫波丽	1	871
1324	青学	1	1
1325	网王	1	9
1326	山茶花	1	14
1327	重音TETO	1	18
1330	乐正綾	1	3
1331	爱丽丝学园	2	7
1332	日向枣	1	1
1333	明教成女	1	2
1334	露卡	1	2
1335	治愈	1	114
1336	猫咪老师	1	8
1338	驱魔少年	2	121
1339	小森唯	1	6
1351	风早翔太	1	1
1352	好想告诉你	2	1
1353	森林组	1	1
1354	萌妹子~	1	1
1355	双花	1	2
1356	盗墓	1	1
1358	百花缭乱	1	1
1363	ジョジョの奇妙な冒険	1	1
1364	加丘	1	1
1366	新堂爱	1	113
1368	基三	1	42
1369	剑侠情缘网络版叁	2	1917
1370	魔法科高校的劣等生	2	107
1371	花嫁	1	3276
1372	雾岛董香	1	44
1374	秘密警察	1	1
1375	兴欣	1	10
1376	垃圾桶	1	2
1380	秦风	1	6
1381	破军成女	1	1
1382	小鸟游六花	1	2431
1384	小樱茉莉	1	14
1386	平和岛静雄	1	13
1387	静临	1	1
1389	练红霸	1	1
1391	利艾	1	3
1392	SEXY	1	11
1394	玖兰枢	1	3
1395	吸血鬼骑士	2	35
1401	真发COS	1	1
1403	小松奈奈	1	7
1405	红白	1	74
1406	红魔城	1	10
1408	九之濑遥	1	4
1409	目隐都市的演绎者	1	31
1410	伊佐那海	1	3
1411	AYANO	1	9
1412	楯山文乃	1	50
1415	咖啡	1	2
1416	气质	1	4
1420	野良	1	1
1421	苏沐橙	1	67
1422	唐柔	1	4
1424	金克斯	1	10
1425	暴走萝莉	1	7
1426	JINX	1	9
1428	兰兰	1	1
1430	黑白	1	280
1436	超高校级	1	2
1442	小狼	1	43
1443	小樱公主	1	11
1444	狼樱	1	73
1445	弥海砂	1	56
1446	夜神月	1	5
1447	弹丸论破2	2	923
1448	边谷山佩子	1	24
1449	南小鸟	1	6530
1450	LOVE LIVE！	1	847
